Image,Vehicle_Count,Traffic_Density
A:/ai_project/traffic-detection-project/train/images\aguanambi-1120_png_jpg.rf.dbd2a5e07780511ff9704003de767b41.jpg,5,1.22E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-1125_png_jpg.rf.107a15d537b1cf70d2aed0aeebaffd83.jpg,1,2.44E-06
A:/ai_project/traffic-detection-project/train/images\aguanambi-1125_png_jpg.rf.59ff046f183cde6e61bbf399ae03d894.jpg,3,7.32E-06
A:/ai_project/traffic-detection-project/train/images\aguanambi-1125_png_jpg.rf.9e0c3e01ad30f482e4dd6b5cbdfa9ac2.jpg,3,7.32E-06
A:/ai_project/traffic-detection-project/train/images\aguanambi-1125_png_jpg.rf.9fd381d47b54f4330dfdcf11a826ede1.jpg,2,4.88E-06
A:/ai_project/traffic-detection-project/train/images\aguanambi-1125_png_jpg.rf.af73a477e74ddba75207b495a18af36d.jpg,2,4.88E-06
A:/ai_project/traffic-detection-project/train/images\aguanambi-1125_png_jpg.rf.c88ef73ed7eebf16ea61b972e2024d59.jpg,1,2.44E-06
A:/ai_project/traffic-detection-project/train/images\aguanambi-1225_png_jpg.rf.07b61995a5462cec4983d12f653cd5dc.jpg,1,2.44E-06
A:/ai_project/traffic-detection-project/train/images\aguanambi-1225_png_jpg.rf.d449f6b81bcc50bdd81917ed0edf48a3.jpg,3,7.32E-06
A:/ai_project/traffic-detection-project/train/images\aguanambi-1225_png_jpg.rf.d698dbcdc06471ad562059f7fa3fecbf.jpg,1,2.44E-06
A:/ai_project/traffic-detection-project/train/images\aguanambi-1230_png_jpg.rf.5484a9f50f04939cbd2ba76075609102.jpg,3,7.32E-06
A:/ai_project/traffic-detection-project/train/images\aguanambi-1230_png_jpg.rf.70ac413558f8e64a21ecc185cf1f823d.jpg,2,4.88E-06
A:/ai_project/traffic-detection-project/train/images\aguanambi-1230_png_jpg.rf.77f3fe6037c786a26fed6cc7ea47c325.jpg,3,7.32E-06
A:/ai_project/traffic-detection-project/train/images\aguanambi-1230_png_jpg.rf.826dded6571ad0d8ca7298b541cb70e2.jpg,4,9.77E-06
A:/ai_project/traffic-detection-project/train/images\aguanambi-1230_png_jpg.rf.a508c8f4084f9ecb1f7f2ef582102ff7.jpg,3,7.32E-06
A:/ai_project/traffic-detection-project/train/images\aguanambi-1230_png_jpg.rf.b2dbbfbaf309b061514cf91d75c44b9b.jpg,2,4.88E-06
A:/ai_project/traffic-detection-project/train/images\aguanambi-1235_png_jpg.rf.0e0c7b151d5228403db29921a156e9ff.jpg,2,4.88E-06
A:/ai_project/traffic-detection-project/train/images\aguanambi-1235_png_jpg.rf.1a687e6535865912c21a3f4e52d498ca.jpg,2,4.88E-06
A:/ai_project/traffic-detection-project/train/images\aguanambi-1235_png_jpg.rf.1fb031a543b18601e956452b0e829404.jpg,1,2.44E-06
A:/ai_project/traffic-detection-project/train/images\aguanambi-1235_png_jpg.rf.8684757ae93681a7d8286bbe5240d72c.jpg,3,7.32E-06
A:/ai_project/traffic-detection-project/train/images\aguanambi-1235_png_jpg.rf.a31ba5f1e0ac48e99a29f46712c7fdcd.jpg,5,1.22E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-1235_png_jpg.rf.badc8ece1b129f35e31c07c8b6ea2c81.jpg,1,2.44E-06
A:/ai_project/traffic-detection-project/train/images\aguanambi-1240_png_jpg.rf.423976c37be884f09d8c0488c1dd4a7e.jpg,2,4.88E-06
A:/ai_project/traffic-detection-project/train/images\aguanambi-1240_png_jpg.rf.52e47beccaf96ab7968f1e889b913de0.jpg,2,4.88E-06
A:/ai_project/traffic-detection-project/train/images\aguanambi-1240_png_jpg.rf.fa48895cb1ccdc96e7610e4baa45a2df.jpg,3,7.32E-06
A:/ai_project/traffic-detection-project/train/images\aguanambi-1245_png_jpg.rf.287974d87b68d7bf3733c9f3b0d0ef61.jpg,4,9.77E-06
A:/ai_project/traffic-detection-project/train/images\aguanambi-1245_png_jpg.rf.a54d4d54ad409e2aaa294f73be119a12.jpg,4,9.77E-06
A:/ai_project/traffic-detection-project/train/images\aguanambi-1245_png_jpg.rf.aed607cde6491882fbc7a9d62164d044.jpg,4,9.77E-06
A:/ai_project/traffic-detection-project/train/images\aguanambi-1245_png_jpg.rf.b1a818bb1f57d9f45b206d474c19ebed.jpg,4,9.77E-06
A:/ai_project/traffic-detection-project/train/images\aguanambi-1245_png_jpg.rf.d2c6e09c82c2d9739a13623320a238ac.jpg,4,9.77E-06
A:/ai_project/traffic-detection-project/train/images\aguanambi-1245_png_jpg.rf.d9257ecf50f258801a8faeb66cd82df2.jpg,5,1.22E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-1250_png_jpg.rf.03db7fe9f0171c6e533080ac2eca2dca.jpg,3,7.32E-06
A:/ai_project/traffic-detection-project/train/images\aguanambi-1250_png_jpg.rf.240397ae08ea93306bd9f0a15d54b0ec.jpg,6,1.46E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-1250_png_jpg.rf.ab0e239bca9e14dc3063453cdd066ceb.jpg,4,9.77E-06
A:/ai_project/traffic-detection-project/train/images\aguanambi-1255_png_jpg.rf.63ada8ee1a6b71e04f7177ff8091fe7e.jpg,9,2.20E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-1255_png_jpg.rf.e01204ba5e91df3782292cf356242ce2.jpg,5,1.22E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-1255_png_jpg.rf.e94f090279817e9274be1ea00f859da4.jpg,7,1.71E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-1270_png_jpg.rf.01c52036ce65c46ac8cfe13df4afc4f5.jpg,4,9.77E-06
A:/ai_project/traffic-detection-project/train/images\aguanambi-1270_png_jpg.rf.858768de4250dcef3637dc08259d131b.jpg,3,7.32E-06
A:/ai_project/traffic-detection-project/train/images\aguanambi-1270_png_jpg.rf.f461cbe0dc8fcf6198ca8a8898caf57c.jpg,3,7.32E-06
A:/ai_project/traffic-detection-project/train/images\aguanambi-1370_png_jpg.rf.2ec145d8e24a8888d0d3600fbea14308.jpg,1,2.44E-06
A:/ai_project/traffic-detection-project/train/images\aguanambi-1370_png_jpg.rf.63696c1b7c83349694726b833147c722.jpg,3,7.32E-06
A:/ai_project/traffic-detection-project/train/images\aguanambi-1370_png_jpg.rf.b8d8a2133d4c247458cbaa67d12c9190.jpg,2,4.88E-06
A:/ai_project/traffic-detection-project/train/images\aguanambi-1375_png_jpg.rf.9dc36acd36082f181082a6ee714e8ef1.jpg,7,1.71E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-1375_png_jpg.rf.d9c70c78d659d0ab8925b88766bdc981.jpg,8,1.95E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-1375_png_jpg.rf.ece9b8918bff77d040a8accbc8970916.jpg,4,9.77E-06
A:/ai_project/traffic-detection-project/train/images\aguanambi-1380_png_jpg.rf.021ce347ff72c761a5283454687b23d3.jpg,7,1.71E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-1380_png_jpg.rf.30dcc20078760f7be5bff277a11d6e97.jpg,8,1.95E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-1380_png_jpg.rf.59984db1718dfee488013c1a53ef7f2e.jpg,3,7.32E-06
A:/ai_project/traffic-detection-project/train/images\aguanambi-1380_png_jpg.rf.608d95d84d6061250112347472fc8688.jpg,10,2.44E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-1380_png_jpg.rf.b5c4ff5e87e8b4b05f19d06e98620a35.jpg,8,1.95E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-1380_png_jpg.rf.c5b5347d7b7cb277766ee1ba1406183a.jpg,10,2.44E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-1385_png_jpg.rf.2481fd9281f86ecd7b9569016e90bb0d.jpg,7,1.71E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-1385_png_jpg.rf.728641a4cabd0680f833b8797595d699.jpg,4,9.77E-06
A:/ai_project/traffic-detection-project/train/images\aguanambi-1385_png_jpg.rf.fbfb473cdd7c69b9047f512974e7a244.jpg,7,1.71E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-1390_png_jpg.rf.0721a83808f03f605d375b2f94dad417.jpg,7,1.71E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-1390_png_jpg.rf.209c31bd91031a91888408fda4cc5111.jpg,4,9.77E-06
A:/ai_project/traffic-detection-project/train/images\aguanambi-1390_png_jpg.rf.77228fdcf70f68916978a333cce5ef5f.jpg,7,1.71E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-1390_png_jpg.rf.7be5359dba1dbd8f3baafb20938c069a.jpg,6,1.46E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-1390_png_jpg.rf.b3988711ac263f0fe2e55a99e1d31295.jpg,5,1.22E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-1390_png_jpg.rf.bf3d7b6610b8e107adc1401f5ef8fbd4.jpg,4,9.77E-06
A:/ai_project/traffic-detection-project/train/images\aguanambi-1395_png_jpg.rf.39b259d3a2e302bbc39055d53009b4a8.jpg,3,7.32E-06
A:/ai_project/traffic-detection-project/train/images\aguanambi-1395_png_jpg.rf.8948957bde4604313a04c80898da775a.jpg,2,4.88E-06
A:/ai_project/traffic-detection-project/train/images\aguanambi-1395_png_jpg.rf.aca76cb2e640104919061ac66bdade42.jpg,3,7.32E-06
A:/ai_project/traffic-detection-project/train/images\aguanambi-1400_png_jpg.rf.1b7fe34aa03b1a7b64d080b4a3874cb2.jpg,8,1.95E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-1400_png_jpg.rf.1be466ab3cf9f183e60a4d8125cd169b.jpg,7,1.71E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-1400_png_jpg.rf.3f2610f473cfa634b8711c9db0991810.jpg,3,7.32E-06
A:/ai_project/traffic-detection-project/train/images\aguanambi-1400_png_jpg.rf.98f6525f2cb5564778c4bd4412fbcd7f.jpg,2,4.88E-06
A:/ai_project/traffic-detection-project/train/images\aguanambi-1400_png_jpg.rf.a184c84189720c4f6d545f03cf44f0db.jpg,5,1.22E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-1400_png_jpg.rf.a67c603f7e22ec8372412b6c6b276522.jpg,4,9.77E-06
A:/ai_project/traffic-detection-project/train/images\aguanambi-1405_png_jpg.rf.27f31b1f6ebc0afd6cebe1068acf9065.jpg,6,1.46E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-1405_png_jpg.rf.a03ee388ccc697e9a9fb4c4b8d0d711f.jpg,11,2.69E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-1405_png_jpg.rf.d3b1fcdd08cf0aaca127c83db76e840c.jpg,5,1.22E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-1410_png_jpg.rf.0a0e0e42e8c0ce507868d2684ddead48.jpg,3,7.32E-06
A:/ai_project/traffic-detection-project/train/images\aguanambi-1410_png_jpg.rf.404ca260482a3115923994639efa2480.jpg,6,1.46E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-1410_png_jpg.rf.ba7e48ab64fe24fa2967bc60107bbdfc.jpg,7,1.71E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-1515_png_jpg.rf.212928dc5ce8b46a08615730d320ab78.jpg,2,4.88E-06
A:/ai_project/traffic-detection-project/train/images\aguanambi-1515_png_jpg.rf.2861a43a1c1399bf3630933a29d26c40.jpg,2,4.88E-06
A:/ai_project/traffic-detection-project/train/images\aguanambi-1515_png_jpg.rf.460c2dcf09578cfbeeaecfabfff58c9c.jpg,0,0
A:/ai_project/traffic-detection-project/train/images\aguanambi-1520_png_jpg.rf.6bf4c22638a03d560550204a27c8c8b2.jpg,1,2.44E-06
A:/ai_project/traffic-detection-project/train/images\aguanambi-1520_png_jpg.rf.88f4e67fd017dda8811a92d5cb934139.jpg,5,1.22E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-1520_png_jpg.rf.fb4d6f2f359c03c48408a8c0f1f62664.jpg,6,1.46E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-1525_png_jpg.rf.6690cea62e46931aeb1957d371213836.jpg,5,1.22E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-1525_png_jpg.rf.760a3de95f936f8670fe2ccd1cdef2d4.jpg,11,2.69E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-1525_png_jpg.rf.87ec75aa34d0fd0f32b1cf8a924afd76.jpg,4,9.77E-06
A:/ai_project/traffic-detection-project/train/images\aguanambi-1525_png_jpg.rf.9960655f58dcf516727e3de32db2b8df.jpg,6,1.46E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-1525_png_jpg.rf.aaf377dc295f25a835351e05e054f88e.jpg,8,1.95E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-1525_png_jpg.rf.d8a894d7df2006ba65edf48aeb807b9a.jpg,3,7.32E-06
A:/ai_project/traffic-detection-project/train/images\aguanambi-1535_png_jpg.rf.666d9687a766d75185dae91390bfdec3.jpg,3,7.32E-06
A:/ai_project/traffic-detection-project/train/images\aguanambi-1535_png_jpg.rf.c637678c9822a54633b8207ad3158cc2.jpg,2,4.88E-06
A:/ai_project/traffic-detection-project/train/images\aguanambi-1535_png_jpg.rf.d166ebcd062519461d210d2c56e37b75.jpg,7,1.71E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-1540_png_jpg.rf.870c953019e7bd86688b0744c8b76d7d.jpg,5,1.22E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-1540_png_jpg.rf.87d8c6e2269de9d34e54701547c565ed.jpg,4,9.77E-06
A:/ai_project/traffic-detection-project/train/images\aguanambi-1540_png_jpg.rf.eaaa7f5c67190d48be8767e9555fd7f7.jpg,5,1.22E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-1545_png_jpg.rf.3dc2db4ec81910cec1cdc2f0a6060eb9.jpg,7,1.71E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-1545_png_jpg.rf.53d1b1ea6555809fcea1506d890315ec.jpg,5,1.22E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-1545_png_jpg.rf.fe328945eddca94b32dda42af630cad3.jpg,9,2.20E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-1550_png_jpg.rf.178e6c3ae2eb53bc2b86a0de5a63e47e.jpg,1,2.44E-06
A:/ai_project/traffic-detection-project/train/images\aguanambi-1550_png_jpg.rf.686e1c761b237dd62977874cf9b6cd6f.jpg,4,9.77E-06
A:/ai_project/traffic-detection-project/train/images\aguanambi-1550_png_jpg.rf.77a1fac09b03fe0100f0a167532878d7.jpg,5,1.22E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-1555_png_jpg.rf.03e55fa69d3922e783cc46d3ac10eb9c.jpg,3,7.32E-06
A:/ai_project/traffic-detection-project/train/images\aguanambi-1555_png_jpg.rf.08cf83a6674dc8e40406140ca52b9018.jpg,5,1.22E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-1555_png_jpg.rf.4d54744eae3c9bd7dfb39cf3f7348a46.jpg,2,4.88E-06
A:/ai_project/traffic-detection-project/train/images\aguanambi-1555_png_jpg.rf.a7fdcdf4f586b3f4dc8d6137583e2707.jpg,2,4.88E-06
A:/ai_project/traffic-detection-project/train/images\aguanambi-1555_png_jpg.rf.aa1234fc0d25cc7b9627463ab62e5ec1.jpg,2,4.88E-06
A:/ai_project/traffic-detection-project/train/images\aguanambi-1555_png_jpg.rf.b68d0f58334ba9247f2599106c416911.jpg,4,9.77E-06
A:/ai_project/traffic-detection-project/train/images\aguanambi-1660_png_jpg.rf.42c6e9055b14dea819515936edfd9648.jpg,2,4.88E-06
A:/ai_project/traffic-detection-project/train/images\aguanambi-1660_png_jpg.rf.6c74f890dad9bf8095c44b6c8998005a.jpg,2,4.88E-06
A:/ai_project/traffic-detection-project/train/images\aguanambi-1660_png_jpg.rf.d569567af5b2046d8a5fb7d9054934b0.jpg,2,4.88E-06
A:/ai_project/traffic-detection-project/train/images\aguanambi-1665_png_jpg.rf.32d36e8b19e0550eed29d8d7979316f5.jpg,3,7.32E-06
A:/ai_project/traffic-detection-project/train/images\aguanambi-1665_png_jpg.rf.66f004c37d075266fa36cd39371264f2.jpg,4,9.77E-06
A:/ai_project/traffic-detection-project/train/images\aguanambi-1665_png_jpg.rf.78e77f3bdd3f290ace4eba27c775a8ee.jpg,2,4.88E-06
A:/ai_project/traffic-detection-project/train/images\aguanambi-1670_png_jpg.rf.844a2e0e0ea6a68890339cf98b621f04.jpg,1,2.44E-06
A:/ai_project/traffic-detection-project/train/images\aguanambi-1670_png_jpg.rf.9ddc6176fcbb0bf1e8a3706c0209c2a0.jpg,2,4.88E-06
A:/ai_project/traffic-detection-project/train/images\aguanambi-1670_png_jpg.rf.eabb6d5870d328541334c0fc7c06b342.jpg,2,4.88E-06
A:/ai_project/traffic-detection-project/train/images\aguanambi-1675_png_jpg.rf.1122843450233cc22a2744c9c84fb984.jpg,8,1.95E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-1675_png_jpg.rf.15ab33bb90b089de0c77f0dd03a617f2.jpg,7,1.71E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-1675_png_jpg.rf.2cb21bd342aeb2b969cb0c478e4cfe78.jpg,4,9.77E-06
A:/ai_project/traffic-detection-project/train/images\aguanambi-1675_png_jpg.rf.44cdfe01d2e008b6b428b43005d7c6c8.jpg,7,1.71E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-1675_png_jpg.rf.aec239a4fa4f861649cfee7bf5496d55.jpg,4,9.77E-06
A:/ai_project/traffic-detection-project/train/images\aguanambi-1675_png_jpg.rf.c2130a8be9f2d2d1888e21c8ddd7e77c.jpg,8,1.95E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-1680_png_jpg.rf.77227a720f4afa6421049c979304c059.jpg,3,7.32E-06
A:/ai_project/traffic-detection-project/train/images\aguanambi-1680_png_jpg.rf.9578dd29666e02ed2035f4c68ba3ffa4.jpg,6,1.46E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-1680_png_jpg.rf.bb39a0cae60db002498f43cbb85581b8.jpg,1,2.44E-06
A:/ai_project/traffic-detection-project/train/images\aguanambi-1685_png_jpg.rf.57966084b13e7eb0b433463b63bdc059.jpg,6,1.46E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-1685_png_jpg.rf.db9951de94bbfb6af2b7b8a12be9dd9c.jpg,3,7.32E-06
A:/ai_project/traffic-detection-project/train/images\aguanambi-1685_png_jpg.rf.e288940724fa542c8ad9b55bdcd498ea.jpg,7,1.71E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-1690_png_jpg.rf.0c08fd8688368c9a15480ef5d5deb20e.jpg,8,1.95E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-1690_png_jpg.rf.70d021a82eb7b7b5bee4f9bee86b1b48.jpg,6,1.46E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-1690_png_jpg.rf.f9754585b290b6d7f9c9c0cc14e15adc.jpg,7,1.71E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-1695_png_jpg.rf.9d695a2ea1fb424a72cf731a8245a41a.jpg,7,1.71E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-1695_png_jpg.rf.a004a40459ca18716b4dfeb0bec382fc.jpg,8,1.95E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-1695_png_jpg.rf.b18248e6b46a6adaaf141147315babd2.jpg,8,1.95E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-1700_png_jpg.rf.1354765bdbe33f5437d99ea6ae41bfbd.jpg,4,9.77E-06
A:/ai_project/traffic-detection-project/train/images\aguanambi-1700_png_jpg.rf.204808f06c10d1ee826bb10cdbd1ddcf.jpg,2,4.88E-06
A:/ai_project/traffic-detection-project/train/images\aguanambi-1700_png_jpg.rf.9978368c365005e5a4f174e45c2a8ee2.jpg,6,1.46E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-1810_png_jpg.rf.290677d9dcdf842e3535a7d2653ab7a0.jpg,6,1.46E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-1810_png_jpg.rf.4d6d647def3ff09bdae4917585c7224d.jpg,1,2.44E-06
A:/ai_project/traffic-detection-project/train/images\aguanambi-1810_png_jpg.rf.8004f18017b7b5b1ae84fec08c82175d.jpg,7,1.71E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-1815_png_jpg.rf.21874a3da5e1136796f3087ff4d4c7a1.jpg,7,1.71E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-1815_png_jpg.rf.63dbb6dd9168c5345898781b39f95c0e.jpg,7,1.71E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-1815_png_jpg.rf.95f80a42087b588f25dbfc6510f48382.jpg,7,1.71E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-1820_png_jpg.rf.5a1d26e452453f103a9eac34e26caa2b.jpg,8,1.95E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-1820_png_jpg.rf.c7d7afb4b48f3d055014c83ebf8d85fd.jpg,5,1.22E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-1820_png_jpg.rf.f80316e4902507c1c4ebe11601734aed.jpg,5,1.22E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-1830_png_jpg.rf.04786f7eef16300dc6df56e89b7b1090.jpg,8,1.95E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-1830_png_jpg.rf.742ad0e50b84e201982f1f4960a371cc.jpg,9,2.20E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-1830_png_jpg.rf.7fc57620b5557883a20c99982293c2ce.jpg,11,2.69E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-1830_png_jpg.rf.8744cc9655747efb94c4a3281f811cc7.jpg,10,2.44E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-1830_png_jpg.rf.a9062fbae73c0deb14ae156ccfee21f3.jpg,7,1.71E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-1830_png_jpg.rf.c46cc0dc5254caeda439841dcc1fab75.jpg,10,2.44E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-1835_png_jpg.rf.2ae97a230750aa06d1fb11e8df39e2c0.jpg,6,1.46E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-1835_png_jpg.rf.416ab32d2ad0433efa7a4b24d63f7f57.jpg,11,2.69E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-1835_png_jpg.rf.5f6d7b7aea5ac344043d0eed4a59744e.jpg,10,2.44E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-1835_png_jpg.rf.9f7f54de59fce52768614a8cfbeea13f.jpg,10,2.44E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-1835_png_jpg.rf.afda3c6359ea550d587254c2d3d91d4e.jpg,9,2.20E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-1835_png_jpg.rf.d8f0d68575ee2378b55b8cbc3abece92.jpg,5,1.22E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-1840_png_jpg.rf.3361eb6d2d64700c390c6ef58bfb6e6f.jpg,8,1.95E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-1840_png_jpg.rf.62a012028bcd3e48980ede82675051bf.jpg,11,2.69E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-1840_png_jpg.rf.9481db3470878462f034cc6c3c3ef371.jpg,5,1.22E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-1840_png_jpg.rf.a50938de40b43d9606bada62b529ae15.jpg,5,1.22E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-1840_png_jpg.rf.a6f26f86fbc98cb062c3c8e613230cf8.jpg,5,1.22E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-1840_png_jpg.rf.f17560de723004691efe9e2ef9a989a6.jpg,3,7.32E-06
A:/ai_project/traffic-detection-project/train/images\aguanambi-1845_png_jpg.rf.2eaa903aeab5d72537d6b2afa19f85b1.jpg,5,1.22E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-1845_png_jpg.rf.6fbb41dc76b5acdf67adb80b0da38407.jpg,2,4.88E-06
